date,time,e,M,efc,efs,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-17,11:04:00,1,16,1000,100,0.0057,0.3600,0.2440,225
2026-03-17,11:04:00,1,48,400,100,0.0052,0.3600,0.2238,225
2026-03-17,11:04:00,1,16,1000,200,0.0057,0.3600,0.2495,225
2026-03-17,11:04:00,1,32,200,100,0.0057,0.3600,0.2455,225
2026-03-17,11:04:00,1,48,400,200,0.0052,0.3600,0.2288,225
2026-03-17,11:04:00,1,32,100,100,0.0035,0.3600,0.1509,225
2026-03-17,11:04:00,1,48,1000,100,0.0030,0.3600,0.1394,225
2026-03-17,11:04:00,1,16,1000,300,0.0057,0.3600,0.2620,225
2026-03-17,11:04:00,1,32,1000,100,0.0034,0.3600,0.1560,225
2026-03-17,11:04:00,1,32,200,200,0.0057,0.3600,0.2570,225
2026-03-17,11:04:00,1,48,1000,200,0.0030,0.3600,0.1325,225
2026-03-17,11:04:00,1,32,100,200,0.0035,0.3600,0.1556,225
2026-03-17,11:04:00,1,48,400,300,0.0052,0.3600,0.2338,225
2026-03-17,11:04:00,1,48,300,100,0.0020,0.3600,0.1068,225
2026-03-17,11:04:00,1,32,1000,200,0.0034,0.3600,0.1522,225
2026-03-17,11:04:00,1,48,1000,300,0.0030,0.3600,0.1355,225
2026-03-17,11:04:00,1,32,700,100,0.0062,0.3600,0.2731,225
2026-03-17,11:04:00,1,32,100,300,0.0035,0.3600,0.1689,225
2026-03-17,11:04:00,1,16,1000,400,0.0057,0.3600,0.2724,225
2026-03-17,11:04:00,1,48,300,200,0.0020,0.3600,0.1565,225
2026-03-17,11:04:00,1,16,600,100,0.0058,0.3600,0.2600,225
2026-03-17,11:04:00,1,32,1000,300,0.0034,0.3600,0.1448,225
2026-03-17,11:04:00,1,48,400,400,0.0052,0.3600,0.2346,225
2026-03-17,11:04:00,1,32,200,300,0.0057,0.3600,0.2700,225
2026-03-17,11:04:00,1,48,1000,400,0.0030,0.3600,0.1312,225
2026-03-17,11:04:00,1,48,700,100,0.0020,0.3600,0.0893,225
2026-03-17,11:04:00,1,32,100,400,0.0035,0.3600,0.1674,225
2026-03-17,11:04:00,1,48,300,300,0.0020,0.3600,0.1527,225
2026-03-17,11:04:00,1,32,1000,400,0.0034,0.3600,0.1402,225
2026-03-17,11:04:00,1,48,1000,500,0.0030,0.3600,0.1288,225
2026-03-17,11:04:00,1,16,400,100,0.0034,0.3600,0.1541,225
2026-03-17,11:04:00,1,32,700,200,0.0062,0.3600,0.2645,225
2026-03-17,11:04:00,1,48,700,200,0.0020,0.3600,0.0902,225
2026-03-17,11:04:00,1,16,1000,500,0.0057,0.3600,0.2625,225
2026-03-17,11:04:00,1,16,600,200,0.0058,0.3600,0.2516,225
2026-03-17,11:04:00,1,48,400,500,0.0052,0.3600,0.2324,225
2026-03-17,11:04:00,1,32,100,500,0.0035,0.3600,0.1663,225
2026-03-17,11:04:00,1,48,300,400,0.0020,0.3600,0.1541,225
2026-03-17,11:04:00,1,48,700,300,0.0020,0.3600,0.0918,225
2026-03-17,11:04:00,1,16,700,100,0.0021,0.3600,0.0885,225
2026-03-17,11:04:00,1,32,200,400,0.0057,0.3600,0.2659,225
2026-03-17,11:04:00,1,48,1000,600,0.0030,0.3600,0.1304,225
2026-03-17,11:04:00,1,32,1000,500,0.0034,0.3600,0.1424,225
2026-03-17,11:04:00,1,16,400,200,0.0034,0.3600,0.1572,225
2026-03-17,11:04:00,1,48,700,400,0.0020,0.3600,0.0904,225
2026-03-17,11:04:00,1,16,700,200,0.0021,0.3600,0.0868,225
2026-03-17,11:04:01,1,48,1000,700,0.0030,0.3600,0.1306,225
2026-03-17,11:04:01,1,48,300,500,0.0020,0.3600,0.1559,225
2026-03-17,11:04:01,1,32,1000,600,0.0034,0.3600,0.1408,225
2026-03-17,11:04:01,1,32,100,600,0.0035,0.3600,0.1696,225
