num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
1,16,100,100,0.0003,0.4444444444444444,0.0396,90
1,16,100,200,0.0003,0.4444444444444444,0.0352,90
1,16,100,300,0.0003,0.4444444444444444,0.0348,90
1,16,100,400,0.0003,0.4444444444444444,0.0350,90
1,16,100,500,0.0004,0.4444444444444444,0.0360,90
1,16,200,100,0.0003,0.4444444444444444,0.0353,90
1,16,200,200,0.0003,0.4444444444444444,0.0371,90
1,16,200,300,0.0003,0.4444444444444444,0.0357,90
1,16,200,400,0.0003,0.4444444444444444,0.0358,90
1,16,200,500,0.0004,0.4444444444444444,0.0372,90
1,16,300,100,0.0004,0.4444444444444444,0.0354,90
1,16,300,200,0.0003,0.4444444444444444,0.0353,90
1,16,300,300,0.0003,0.4444444444444444,0.0352,90
1,16,300,400,0.0003,0.4444444444444444,0.0314,90
1,16,300,500,0.0003,0.4444444444444444,0.0342,90
1,16,400,100,0.0004,0.4444444444444444,0.0313,90
1,16,400,200,0.0003,0.4444444444444444,0.0344,90
1,16,400,300,0.0003,0.4444444444444444,0.0353,90
1,16,400,400,0.0003,0.4444444444444444,0.0351,90
1,16,400,500,0.0004,0.4444444444444444,0.0371,90
1,16,500,100,0.0003,0.4444444444444444,0.0352,90
1,16,500,200,0.0003,0.4444444444444444,0.0342,90
1,16,500,300,0.0003,0.4444444444444444,0.0370,90
1,16,500,400,0.0003,0.4444444444444444,0.0357,90
1,16,500,500,0.0003,0.4444444444444444,0.0358,90
1,32,100,100,0.0004,0.4444444444444444,0.0360,90
1,32,100,200,0.0003,0.4444444444444444,0.0359,90
1,32,100,300,0.0004,0.4444444444444444,0.0361,90
1,32,100,400,0.0004,0.4444444444444444,0.0326,90
1,32,100,500,0.0004,0.4444444444444444,0.0327,90
1,32,200,100,0.0004,0.4444444444444444,0.0352,90
1,32,200,200,0.0003,0.4444444444444444,0.0343,90
1,32,200,300,0.0003,0.4444444444444444,0.0314,90
1,32,200,400,0.0004,0.4444444444444444,0.0314,90
1,32,200,500,0.0003,0.4444444444444444,0.0370,90
1,32,300,100,0.0004,0.4444444444444444,0.0407,90
1,32,300,200,0.0003,0.4444444444444444,0.0357,90
