date,time,e,M,efc,efs,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-17,12:00:43,1,48,800,100,0.0054,0.3600,0.2318,225
2026-03-17,12:00:43,1,32,300,100,0.0021,0.3600,0.0953,225
2026-03-17,12:00:43,1,32,600,100,0.0057,0.3600,0.2384,225
2026-03-17,12:00:43,1,32,300,200,0.0021,0.3600,0.0943,225
2026-03-17,12:00:43,1,48,800,200,0.0054,0.3600,0.2256,225
2026-03-17,12:00:43,1,32,300,300,0.0021,0.3600,0.0945,225
2026-03-17,12:00:43,1,32,300,400,0.0021,0.3600,0.0932,225
2026-03-17,12:00:43,1,16,400,100,0.0032,0.3600,0.1470,225
2026-03-17,12:00:43,1,32,600,200,0.0057,0.3600,0.2408,225
2026-03-17,12:00:43,1,48,800,300,0.0054,0.3600,0.2234,225
2026-03-17,12:00:43,1,32,300,500,0.0021,0.3600,0.0901,225
2026-03-17,12:00:43,1,32,500,100,0.0056,0.3600,0.2436,225
2026-03-17,12:00:43,1,16,400,200,0.0032,0.3600,0.1442,225
2026-03-17,12:00:43,1,32,300,600,0.0021,0.3600,0.0904,225
2026-03-17,12:00:43,1,32,600,300,0.0057,0.3600,0.2436,225
2026-03-17,12:00:43,1,16,900,100,0.0032,0.3600,0.1270,225
2026-03-17,12:00:43,1,32,300,700,0.0021,0.3600,0.0834,225
2026-03-17,12:00:43,1,48,800,400,0.0054,0.3600,0.2205,225
2026-03-17,12:00:43,1,16,400,300,0.0032,0.3600,0.1361,225
2026-03-17,12:00:43,1,16,900,200,0.0032,0.3600,0.0958,225
2026-03-17,12:00:43,1,32,300,800,0.0021,0.3600,0.0990,225
2026-03-17,12:00:43,1,16,400,400,0.0032,0.3600,0.0906,225
2026-03-17,12:00:43,1,32,500,200,0.0056,0.3600,0.2501,225
2026-03-17,12:00:43,1,16,900,300,0.0032,0.3600,0.0877,225
2026-03-17,12:00:43,1,32,300,900,0.0021,0.3600,0.0872,225
2026-03-17,12:00:43,1,16,400,500,0.0032,0.3600,0.0942,225
2026-03-17,12:00:43,1,32,600,400,0.0057,0.3600,0.2509,225
2026-03-17,12:00:43,1,48,800,500,0.0054,0.3600,0.2265,225
2026-03-17,12:00:43,1,16,900,400,0.0032,0.3600,0.0976,225
2026-03-17,12:00:43,1,32,300,1000,0.0021,0.3600,0.0861,225
2026-03-17,12:00:43,1,16,400,600,0.0032,0.3600,0.0936,225
2026-03-17,12:00:43,1,16,900,500,0.0032,0.3600,0.0968,225
2026-03-17,12:00:43,1,32,500,300,0.0056,0.3600,0.2592,225
2026-03-17,12:00:43,1,16,400,700,0.0032,0.3600,0.0931,225
2026-03-17,12:00:43,1,48,800,600,0.0054,0.3600,0.2272,225
2026-03-17,12:00:43,1,16,900,600,0.0032,0.3600,0.0980,225
2026-03-17,12:00:43,1,32,600,500,0.0057,0.3600,0.2528,225
2026-03-17,12:00:43,1,16,400,800,0.0032,0.3600,0.0925,225
2026-03-17,12:00:43,1,16,900,700,0.0032,0.3600,0.0958,225
2026-03-17,12:00:43,1,16,400,900,0.0032,0.3600,0.0912,225
2026-03-17,12:00:43,1,32,700,100,0.0058,0.3600,0.2460,225
2026-03-17,12:00:43,1,32,500,400,0.0056,0.3600,0.2487,225
2026-03-17,12:00:43,1,16,500,100,0.0020,0.3600,0.0843,225
2026-03-17,12:00:43,1,16,900,800,0.0032,0.3600,0.0958,225
2026-03-17,12:00:43,1,48,700,100,0.0032,0.3600,0.1283,225
2026-03-17,12:00:43,1,48,400,100,0.0053,0.3600,0.2336,225
2026-03-17,12:00:43,1,16,400,1000,0.0032,0.3600,0.0914,225
2026-03-17,12:00:43,1,48,800,700,0.0054,0.3600,0.2401,225
2026-03-17,12:00:43,1,32,600,600,0.0057,0.3600,0.2440,225
2026-03-17,12:00:43,1,16,500,200,0.0020,0.3600,0.0845,225
2026-03-17,12:00:43,1,16,900,900,0.0032,0.3600,0.0964,225
2026-03-17,12:00:43,1,48,600,100,0.0056,0.3600,0.2398,225
2026-03-17,12:00:43,1,48,100,100,0.0030,0.3600,0.1318,225
2026-03-17,12:00:43,1,48,700,200,0.0032,0.3600,0.1301,225
2026-03-17,12:00:43,1,16,500,300,0.0020,0.3600,0.0854,225
2026-03-17,12:00:43,1,16,700,100,0.0031,0.3600,0.1524,225
2026-03-17,12:00:43,1,32,700,200,0.0058,0.3600,0.2450,225
2026-03-17,12:00:43,1,16,900,1000,0.0032,0.3600,0.0967,225
2026-03-17,12:00:43,1,32,800,100,0.0057,0.3600,0.2456,225
2026-03-17,12:00:43,1,32,500,500,0.0056,0.3600,0.2533,225
2026-03-17,12:00:43,1,48,600,200,0.0056,0.3600,0.1298,225
2026-03-17,12:00:43,1,16,500,400,0.0020,0.3600,0.0917,225
2026-03-17,12:00:43,1,48,400,200,0.0053,0.3600,0.2354,225
2026-03-17,12:00:43,1,48,100,200,0.0030,0.3600,0.1285,225
2026-03-17,12:00:43,1,48,700,300,0.0032,0.3600,0.1291,225
2026-03-17,12:00:43,1,16,700,200,0.0031,0.3600,0.1176,225
2026-03-17,12:00:43,1,48,800,800,0.0054,0.3600,0.2393,225
2026-03-17,12:00:43,1,16,1000,100,0.0033,0.3600,0.1549,225
2026-03-17,12:00:43,1,32,600,700,0.0057,0.3600,0.2590,225
2026-03-17,12:00:43,1,16,500,500,0.0020,0.3600,0.0853,225
2026-03-17,12:00:43,1,48,600,300,0.0056,0.3600,0.0886,225
2026-03-17,12:00:43,1,48,300,100,0.0056,0.3600,0.2473,225
